 iw=          48
         1        0.99614051        0.00000000
         2        0.99610008        0.00000000
         3        0.99602924        0.00000000
         4        0.99595897        0.00000000
         5        0.99588991        0.00000000
         6        0.99582479        0.00000000
         7        0.99575674        0.00000000
         8        0.99568799        0.00000000
         9        0.99561776        0.00000000
        10        0.99554835        0.00000000
        11        0.99547855        0.00000000
        12        0.99540829        0.00000000
        13        0.99533726        0.00000000
        14        0.99526568        0.00000000
        15        0.99519414        0.00000000
        16        0.99512204        0.00000000
        17        0.99504991        0.00000000
        18        0.99497671        0.00000008
        19        0.99490457       -0.00000002
        20        0.99482920       -0.00000006
        21        0.99475844        0.00000002
        22        0.99468143       -0.00000017
        23        0.99460980       -0.00000056
        24        0.99453277       -0.00000192
        25        0.99445820       -0.00000591
        26        0.99438397       -0.00001502
        27        0.99429901       -0.00003373
        28        0.99421562       -0.00006729
        29        0.99412547       -0.00011945
        30        0.99401452       -0.00019079
        31        0.99388599       -0.00027487
        32        0.99374279       -0.00035717
        33        0.99357720       -0.00041802
        34        0.99338694       -0.00043894
        35        0.99318426       -0.00040962
        36        0.99298066       -0.00033381
        37        0.99277740       -0.00022970
        38        0.99257268       -0.00012374
        39        0.99236935       -0.00004001
        40        0.99216850        0.00000861
        41        0.99196367        0.00002344
        42        0.99174601        0.00001629
        43        0.99151359        0.00000230
        44        0.99127041       -0.00000736
        45        0.99101889       -0.00000892
        46        0.99075703       -0.00000495
        47        0.99048338       -0.00000013
        48        0.99020027        0.00000242
        49        0.98991078        0.00000240
        50        0.98961481        0.00000115
        51        0.98931060        0.00000006
        52        0.98899944       -0.00000027
        53        0.98868638        0.00000004
        54        0.98837587        0.00000042
        55        0.98807053        0.00000042
        56        0.98777862       -0.00000017
        57        0.98751822       -0.00000108
        58        0.98730486       -0.00000201
        59        0.98714408       -0.00000283
        60        0.98705324       -0.00000354
        61        0.98707665       -0.00000432
        62        0.98724191       -0.00000506
        63        0.98750335       -0.00000576
        64        0.98776492       -0.00000634
        65        0.98793701       -0.00000677
        66        0.98790601       -0.00000704
        67        0.98744821       -0.00000699
        68        0.98624945       -0.00000659
        69        0.98405065       -0.00000597
        70        0.98075804       -0.00000505
        71        0.97643641       -0.00000381
        72        0.97127712       -0.00000236
        73        0.96561565       -0.00000070
        74        0.95994723        0.00000119
        75        0.95485928        0.00000297
        76        0.95088478        0.00000470
        77        0.94835077        0.00000659
        78        0.94731011        0.00000852
        79        0.94757853        0.00001048
        80        0.94883318        0.00001316
        81        0.95070461        0.00001696
        82        0.95285619        0.00002215
        83        0.95505666        0.00002943
        84        0.95724191        0.00003951
        85        0.95950309        0.00005197
        86        0.96199304        0.00006605
        87        0.96478869        0.00008030
        88        0.96782500        0.00009211
        89        0.97091669        0.00009748
        90        0.97384857        0.00009258
        91        0.97642732        0.00007409
        92        0.97851433        0.00003990
        93        0.98001396       -0.00001019
        94        0.98089627       -0.00007266
        95        0.98118085       -0.00014085
        96        0.98094459       -0.00020580
        97        0.98027148       -0.00025782
        98        0.97926537       -0.00028685
        99        0.97802501       -0.00028557
       100        0.97669362       -0.00025121
       101        0.97540583       -0.00018645
       102        0.97429398       -0.00009814
       103        0.97340476        0.00000202
       104        0.97276205        0.00010007
       105        0.97233346        0.00018238
       106        0.97211984        0.00023895
       107        0.97207689        0.00026357
       108        0.97219076        0.00025630
       109        0.97238876        0.00022273
       110        0.97265840        0.00017294
       111        0.97295216        0.00011821
       112        0.97329786        0.00007017
       113        0.97365917        0.00003696
       114        0.97406973        0.00002289
       115        0.97449479        0.00002743
       116        0.97497996        0.00004671
       117        0.97547836        0.00007307
       118        0.97600722        0.00009915
       119        0.97647524        0.00011838
       120        0.97688097        0.00012664
       121        0.97714707        0.00012180
       122        0.97730927        0.00010589
       123        0.97731995        0.00008209
       124        0.97723539        0.00005484
       125        0.97703693        0.00002796
       126        0.97680267        0.00000514
       127        0.97653321       -0.00001275
       128        0.97629166       -0.00002530
       129        0.97606552       -0.00003377
       130        0.97587727       -0.00003963
       131        0.97571647       -0.00004510
       132        0.97558074       -0.00005053
       133        0.97547455       -0.00005660
       134        0.97536134       -0.00006293
       135        0.97527933       -0.00006916
       136        0.97516439       -0.00007394
       137        0.97510292       -0.00007741
       138        0.97498750       -0.00007916
       139        0.97495026       -0.00007953
       140        0.97481720       -0.00007868
       141        0.97478270       -0.00007760
       142        0.97460704       -0.00007601
       143        0.97456510       -0.00007436
       144        0.97433479       -0.00007255
       145        0.97428853       -0.00007080
       146        0.97401038       -0.00006865
       147        0.97398680       -0.00006679
       148        0.97368982       -0.00006526
       149        0.97373043       -0.00006456
       150        0.97344142       -0.00006475
       151        0.97357390       -0.00006644
       152        0.97330869       -0.00006905
       153        0.97355648       -0.00007264
       154        0.97332438       -0.00007661
       155        0.97370190       -0.00008081
       156        0.97350635       -0.00008446
       157        0.97402821       -0.00008797
       158        0.97388192       -0.00009103
       159        0.97457942       -0.00009431
       160        0.97450882       -0.00009786
       161        0.97541821       -0.00010275
       162        0.97545136       -0.00010868
       163        0.97660458       -0.00011645
       164        0.97675077       -0.00012539
       165        0.97814147       -0.00013578
       166        0.97835385       -0.00014618
       167        0.97990284       -0.00015680
       168        0.98005762       -0.00016597
       169        0.98161173       -0.00017400
       170        0.98152137       -0.00017945
       171        0.98287964       -0.00018340
       172        0.98234604       -0.00018463
       173        0.98333886       -0.00018479
       174        0.98224283       -0.00018283
       175        0.98281613       -0.00018062
       176        0.98118317       -0.00017661
       177        0.98143499       -0.00017275
       178        0.97943965       -0.00016692
       179        0.97959250       -0.00016107
       180        0.97749162       -0.00015284
       181        0.97779453       -0.00014478
       182        0.97581810       -0.00013447
       183        0.97644590       -0.00012531
       184        0.97471547       -0.00011500
       185        0.97571465       -0.00010755
       186        0.97422056       -0.00010019
       187        0.97551807       -0.00009713
       188        0.97416187       -0.00009464
       189        0.97563294       -0.00009661
       190        0.97430344       -0.00009829
       191        0.97584060       -0.00010348
       192        0.97446964       -0.00010669
       193        0.97602134       -0.00011220
       194        0.97460105       -0.00011443
       195        0.97616766       -0.00011853
       196        0.97472637       -0.00011900
       197        0.97632408       -0.00012196
       198        0.97488964       -0.00012173
       199        0.97652223       -0.00012489
       200        0.97510232       -0.00012518
       201        0.97675010       -0.00012935
       202        0.97533142       -0.00013024
       203        0.97696065       -0.00013472
       204        0.97552507       -0.00013499
       205        0.97710633       -0.00013827
       206        0.97564522       -0.00013645
       207        0.97716165       -0.00013748
       208        0.97567993       -0.00013319
       209        0.97712919       -0.00013227
       210        0.97564312       -0.00012648
       211        0.97703127       -0.00012513
       212        0.97556041       -0.00011963
       213        0.97689514       -0.00011965
       214        0.97545799       -0.00011605
